key,score
258918,0.107022
258134,0.942329
165265,0.79728
522141,0.162125
569662,0.355251
556369,0.322151
426252,0.694263
523369,0.0597168
128768,0.910157
479474,0.596458
319766,0.485806
400573,0.0281389
521741,0.553643
172287,0.565323
195129,0.43806
121076,0.786201
18000,0.723582
573718,0.726153
255910,0.444322
427444,0.46579
289547,0.798474
126997,0.851266
452834,0.185295
152236,0.378343
147696,0.392452
574280,0.27574
263979,0.523208
342576,0.72968
122740,0.835821
94522,0.752749
193528,0.16021
283679,0.129777
309557,0.747818
393982,0.90893
395787,0.443915
428686,0.667092
546489,0.0512264
166263,0.379987
453352,0.193492
68836,0.821008
69941,0.929117
480,0.903507
552162,0.292034
212516,0.385443
519215,0.244338
387174,0.375558
453450,0.102382
378816,0.0668536
428171,0.626092
203413,0.442348
554832,0.362883
107213,0.234001
4905,0.0202096
74170,0.915482
170306,0.720598
23003,0.930412
580325,0.906132
18031,0.815736
568458,0.274226
570891,0.871881
452158,0.230633
180169,0.184612
518995,0.16033
148214,0.380409
68801,0.534815
82068,0.593626
333194,0.0344822
113278,0.778055
426445,0.417332
82037,0.768618
380884,0.406982
401307,0.391827
124023,0.919655
510315,0.821302
51023,0.887582
157672,0.747023
273559,0.657897
366464,0.19944
208100,0.209518
174710,0.647558
415176,0.177153
274275,0.0742729
11445,0.628587
486912,0.0368527
100215,0.884734
111260,0.873218
306571,0.496072
498342,0.462491
91009,0.970643
523355,0.243085
524864,0.372322
434537,0.3793
159320,0.399782
492275,0.504948
571474,0.50855
456492,0.16484
227245,0.0115227
533713,0.249521
439327,0.0299633
136879,0.8362
266731,0.0958501
195973,0.396921
265475,0.273663
391972,0.603893
554045,0.41397
121483,0.925044
441455,0.498558
122386,0.721491
382689,0.193131
153316,0.670206
508308,0.0428997
370580,0.0763297
510905,0.527978
37663,0.909551
381601,0.828702
261581,0.693014
166382,0.288135
409932,0.260707
58296,0.879839
230443,0.798283
550973,0.863997
565952,0.747099
92102,0.348944
80501,0.939393
507936,0.0193186
118171,0.704847
224139,0.629825
315225,0.334088
294909,0.115353
314035,0.53068
331394,0.627637
101629,0.888296
256282,0.368038
472630,0.203854
304582,0.496024
131792,0.532414
322436,0.458407
310418,0.592549
517761,0.321208
148736,0.885795
448003,0.0342284
291596,0.0371181
252881,0.447115
561356,0.738219
146158,0.625398
420489,0.184242
196774,0.661991
304538,0.610901
94865,0.646819
370607,0.314573
269269,0.187246
371185,0.50984
85471,0.803423
151412,0.2168
376409,0.655077
473025,0.161538
145221,0.836413
179258,0.598375
236276,0.863093
300524,0.112125
538481,0.306508
23149,0.591825
228043,0.889493
500323,0.610501
563124,0.725584
538915,0.0579632
341184,0.625341
22604,0.750288
539098,0.302179
416925,0.237586
428435,0.736406
475823,0.0249554
251145,0.0976169
124386,0.909821
69345,0.826347
64133,0.859662
375694,0.366488
509369,0.269455
445418,0.449237
543394,0.246288
539994,0.0879244
520358,0.547464
24517,0.815984
388874,0.913748
456661,0.233081
301696,0.598447
47015,0.928685
217181,0.646966
199752,0.193421
291001,0.448746
285435,0.109523
367588,0.224017
307885,0.71315
575060,0.374487
288955,0.0296656
157576,0.67059
57978,0.7844
451346,0.16968
205222,0.530009
66439,0.888157
84327,0.963653
457794,0.285031
362729,0.572683
291448,0.608402
2178,0.0734972
562957,0.577655
41599,0.396383
430164,0.404859
233158,0.770502
116856,0.478925
327489,0.747493
376203,0.361604
244067,0.0258482
43442,0.848347
505496,0.481046
251474,0.833571
413108,0.795112
139998,0.854557
458270,0.281898
